H2Ofrac,length,radius,n_tot,T_est_condres,T_est_ac,Q_est_condres,Q_est_ac,T_RO_model,Q_RO_model,R,L,T_C,delta_rho,rho_bar,rho_mean,c_mean,mu_mean,ngas_mean,T_ac_analytic
0.400000,700.000000,5.000000,0.001000,46.595564,15.088627,5.811928,2.001985,47.771413,2.757828,5.000000,700.000000,1155.000000,2238.689253,2073.981425,2071.853738,146.706768,225.525466,0.000576,9.542845
0.400000,700.000000,10.000000,0.001000,46.794968,12.633208,6.557085,4.424260,47.105437,7.234562,10.000000,700.000000,1155.000000,2238.689253,2073.981425,2071.853738,146.706768,225.525466,0.000576,9.542845
0.600000,700.000000,5.000000,0.001000,46.497151,13.539419,5.524474,2.407850,48.258770,3.092744,5.000000,700.000000,1155.000000,2244.278659,2153.084672,2150.746988,180.005653,198.083439,0.000387,7.777534
0.600000,700.000000,10.000000,0.001000,46.806534,11.456379,6.262834,5.140910,47.716509,7.918067,10.000000,700.000000,1155.000000,2244.278659,2153.084672,2150.746988,180.005653,198.083439,0.000387,7.777534
0.800000,700.000000,5.000000,0.001000,43.340780,11.544347,6.344881,2.116499,48.694006,3.394402,5.000000,700.000000,1155.000000,2262.447224,2223.886776,2221.340203,272.332265,178.160074,0.000198,5.140779
0.800000,700.000000,10.000000,0.001000,44.629284,11.019727,7.555065,2.258822,48.215058,8.550086,10.000000,700.000000,1155.000000,2262.447224,2223.886776,2221.340203,272.332265,178.160074,0.000198,5.140779
0.400000,700.000000,5.000000,0.002000,38.583316,20.401862,3.008577,1.223403,44.249044,1.427048,5.000000,700.000000,1155.000000,2345.074841,1554.919252,1554.089293,96.841181,420.773839,0.001303,14.456660
0.400000,700.000000,10.000000,0.002000,41.756607,17.332621,4.733209,1.528813,41.996461,4.653107,10.000000,700.000000,1155.000000,2345.074841,1554.919252,1554.089293,96.841181,420.773839,0.001303,14.456660
0.400000,700.000000,5.000000,0.002000,38.583316,20.401862,3.008577,1.223403,44.249044,1.427048,5.000000,700.000000,1155.000000,2345.074841,1554.919252,1554.089293,96.841181,420.773839,0.001303,14.456660
0.400000,700.000000,10.000000,0.002000,41.756607,17.332621,4.733209,1.528813,41.996461,4.653107,10.000000,700.000000,1155.000000,2345.074841,1554.919252,1554.089293,96.841181,420.773839,0.001303,14.456660
0.600000,700.000000,5.000000,0.002000,38.783989,20.106830,3.443018,1.492490,44.394709,1.529334,5.000000,700.000000,1155.000000,2433.389215,1630.891448,1629.860453,106.310195,407.922192,0.001003,13.169010
0.600000,700.000000,10.000000,0.002000,41.665774,16.869290,4.868102,1.572123,42.402279,4.992560,10.000000,700.000000,1155.000000,2433.389215,1630.891448,1629.860453,106.310195,407.922192,0.001003,13.169010
0.800000,700.000000,5.000000,0.002000,38.898385,20.786144,3.724517,1.543988,44.846157,1.606324,5.000000,700.000000,1155.000000,2521.955936,1724.134009,1722.834681,133.600287,405.838105,0.000709,10.479019
0.800000,700.000000,10.000000,0.002000,41.531374,18.334106,4.993247,1.475158,43.000126,5.280745,10.000000,700.000000,1155.000000,2521.955936,1724.134009,1722.834681,133.600287,405.838105,0.000709,10.479019
0.400000,700.000000,5.000000,0.003000,35.253097,21.353157,2.967872,1.894282,47.928627,0.607411,5.000000,700.000000,1155.000000,2211.456273,1122.886758,1123.212552,84.864424,719.682044,0.002137,16.496901
0.400000,700.000000,10.000000,0.003000,35.242774,19.778897,2.876950,1.254318,37.655148,2.650106,10.000000,700.000000,1155.000000,2211.456273,1122.886758,1123.212552,84.864424,719.682044,0.002137,16.496901
0.600000,700.000000,5.000000,0.003000,35.738193,20.487472,2.862109,3.844121,46.917252,0.658928,5.000000,700.000000,1155.000000,2349.642825,1206.760170,1206.971699,87.415467,725.984840,0.001781,16.015472
0.600000,700.000000,10.000000,0.003000,34.917357,19.990853,3.302912,1.231824,37.955123,2.821455,10.000000,700.000000,1155.000000,2349.642825,1206.760170,1206.971699,87.415467,725.984840,0.001781,16.015472
0.800000,700.000000,5.000000,0.003000,36.302298,21.747951,3.039991,1.894451,46.341652,0.739124,5.000000,700.000000,1155.000000,2499.071164,1344.536914,1344.455678,98.310845,727.249830,0.001405,14.240545
0.800000,700.000000,10.000000,0.003000,35.428725,20.230341,3.692148,1.233766,38.883136,3.076300,10.000000,700.000000,1155.000000,2499.071164,1344.536914,1344.455678,98.310845,727.249830,0.001405,14.240545
0.400000,700.000000,5.000000,0.004000,37.022832,21.778136,2.061342,2.555756,NaN,NaN,5.000000,700.000000,1155.000000,1915.460551,755.945968,757.008045,84.591626,1119.012336,0.003072,16.550101
0.400000,700.000000,10.000000,0.004000,29.729089,20.790174,2.875162,1.617326,34.866331,1.370830,10.000000,700.000000,1155.000000,1915.460551,755.945968,757.008045,84.591626,1119.012336,0.003072,16.550101
0.600000,700.000000,5.000000,0.004000,36.599401,18.291496,2.121923,3.112956,NaN,NaN,5.000000,700.000000,1155.000000,2090.960972,804.706279,805.878116,84.302427,1166.484673,0.002726,16.606877
0.600000,700.000000,10.000000,0.004000,30.027754,21.052245,2.982558,1.578391,34.414034,1.426058,10.000000,700.000000,1155.000000,2090.960972,804.706279,805.878116,84.302427,1166.484673,0.002726,16.606877
0.800000,700.000000,5.000000,0.004000,35.730607,18.259558,2.345022,3.184419,NaN,NaN,5.000000,700.000000,1155.000000,2326.542464,903.353477,904.566665,86.111854,1203.639408,0.002357,16.257924
0.800000,700.000000,10.000000,0.004000,30.601170,21.281488,3.111910,1.544685,34.368757,1.557798,10.000000,700.000000,1155.000000,2326.542464,903.353477,904.566665,86.111854,1203.639408,0.002357,16.257924
0.400000,700.000000,5.000000,0.005000,43.484572,18.509357,1.626899,3.733077,NaN,NaN,5.000000,700.000000,1155.000000,1401.769356,470.436358,471.546361,89.664845,1629.153909,0.004098,15.613700
0.400000,700.000000,10.000000,0.005000,24.898809,21.109549,2.125602,2.432344,41.758181,0.522772,10.000000,700.000000,1155.000000,1401.769356,470.436358,471.546361,89.664845,1629.153909,0.004098,15.613700
0.600000,700.000000,5.000000,0.005000,44.498300,18.752508,1.597165,4.136784,NaN,NaN,5.000000,700.000000,1155.000000,1469.203768,458.410568,459.665723,89.596059,1767.506091,0.003838,15.625687
0.600000,700.000000,10.000000,0.005000,35.175541,21.359184,1.820447,2.469667,43.405885,0.454710,10.000000,700.000000,1155.000000,1469.203768,458.410568,459.665723,89.596059,1767.506091,0.003838,15.625687
0.800000,700.000000,5.000000,0.005000,45.269041,18.972050,1.607333,4.650879,NaN,NaN,5.000000,700.000000,1155.000000,1523.682809,442.119819,443.519040,90.093375,1938.595034,0.003632,15.539433
0.800000,700.000000,10.000000,0.005000,36.128790,21.166803,1.771916,3.148430,47.831151,0.365694,10.000000,700.000000,1155.000000,1523.682809,442.119819,443.519040,90.093375,1938.595034,0.003632,15.539433
0.400000,800.000000,5.000000,0.001000,47.228775,15.609576,6.151458,1.832055,51.823963,2.762349,5.000000,800.000000,1155.000000,2251.521351,2146.388514,2144.004052,170.712687,213.626928,0.000566,9.372473
0.400000,800.000000,10.000000,0.001000,46.709309,13.106073,5.615723,4.285445,51.100668,7.209892,10.000000,800.000000,1155.000000,2251.521351,2146.388514,2144.004052,170.712687,213.626928,0.000566,9.372473
0.600000,800.000000,5.000000,0.001000,47.496273,13.984948,6.402662,2.184849,52.293081,3.081880,5.000000,800.000000,1155.000000,2252.612817,2218.786451,2216.209332,212.246465,188.193615,0.000375,7.538406
0.600000,800.000000,10.000000,0.001000,47.047296,11.717403,5.975940,5.188865,51.695724,7.859674,10.000000,800.000000,1155.000000,2252.612817,2218.786451,2216.209332,212.246465,188.193615,0.000375,7.538406
0.800000,800.000000,5.000000,0.001000,45.894823,11.650844,6.284371,2.132172,52.714876,3.370226,5.000000,800.000000,1155.000000,2266.640294,2283.769715,2280.998292,332.387565,169.552269,0.000185,4.813658
0.800000,800.000000,10.000000,0.001000,46.291980,11.179069,6.684384,2.278532,52.176741,8.461969,10.000000,800.000000,1155.000000,2266.640294,2283.769715,2280.998292,332.387565,169.552269,0.000185,4.813658
0.400000,800.000000,5.000000,0.002000,41.871125,13.647525,3.468215,1.853378,48.431856,1.524588,5.000000,800.000000,1155.000000,2383.076512,1677.327294,1676.094972,109.762776,383.077608,0.001280,14.576891
0.400000,800.000000,10.000000,0.002000,45.747282,17.959164,5.837407,1.414266,46.255692,4.874417,10.000000,800.000000,1155.000000,2383.076512,1677.327294,1676.094972,109.762776,383.077608,0.001280,14.576891
0.600000,800.000000,5.000000,0.002000,42.067424,20.455618,3.732336,1.181240,48.653319,1.631122,5.000000,800.000000,1155.000000,2459.229731,1751.603536,1750.153119,123.218361,369.726246,0.000968,12.985078
0.600000,800.000000,10.000000,0.002000,45.654569,17.402099,5.814212,1.441526,46.720773,5.224585,10.000000,800.000000,1155.000000,2459.229731,1751.603536,1750.153119,123.218361,369.726246,0.000968,12.985078
0.800000,800.000000,5.000000,0.002000,42.269653,20.602140,3.933926,1.448488,49.158807,1.709822,5.000000,800.000000,1155.000000,2535.042446,1840.896314,1839.168118,160.972102,366.303847,0.000660,9.939611
0.800000,800.000000,10.000000,0.002000,45.693062,18.022179,5.793896,1.378617,47.358565,5.517592,10.000000,800.000000,1155.000000,2535.042446,1840.896314,1839.168118,160.972102,366.303847,0.000660,9.939611
0.400000,800.000000,5.000000,0.003000,37.654199,16.336786,3.192349,1.953676,50.295098,0.726216,5.000000,800.000000,1155.000000,2296.884931,1276.875106,1276.767927,92.402875,644.128402,0.002090,17.315478
0.400000,800.000000,10.000000,0.003000,38.792628,13.336828,3.754962,1.893233,42.015179,2.946557,10.000000,800.000000,1155.000000,2296.884931,1276.875106,1276.767927,92.402875,644.128402,0.002090,17.315478
0.600000,800.000000,5.000000,0.003000,39.206443,16.544220,3.521241,1.949232,49.881444,0.777192,5.000000,800.000000,1155.000000,2412.662100,1364.664586,1364.384307,97.352504,647.018382,0.001705,16.435119
0.600000,800.000000,10.000000,0.003000,38.859282,13.408387,3.973546,1.858205,42.478579,3.127897,10.000000,800.000000,1155.000000,2412.662100,1364.664586,1364.384307,97.352504,647.018382,0.001705,16.435119
0.800000,800.000000,5.000000,0.003000,40.277754,21.695063,3.816583,1.663547,49.938345,0.852191,5.000000,800.000000,1155.000000,2532.014201,1500.426591,1499.802872,114.837484,646.260659,0.001300,13.932733
0.800000,800.000000,10.000000,0.003000,40.363192,13.397439,4.628683,1.791356,43.533389,3.378887,10.000000,800.000000,1155.000000,2532.014201,1500.426591,1499.802872,114.837484,646.260659,0.001300,13.932733
0.400000,800.000000,5.000000,0.004000,37.996602,18.003540,2.416525,2.703547,NaN,NaN,5.000000,800.000000,1155.000000,2083.073656,920.119048,920.868415,88.470198,994.197219,0.002993,18.085186
0.400000,800.000000,10.000000,0.004000,34.107877,14.133214,2.979807,1.873118,38.751613,1.656735,10.000000,800.000000,1155.000000,2083.073656,920.119048,920.868415,88.470198,994.197219,0.002993,18.085186
0.600000,800.000000,5.000000,0.004000,38.270388,18.174382,2.509013,2.858547,246.426915,0.076003,5.000000,800.000000,1155.000000,2249.901170,983.195020,983.981570,89.172501,1032.516589,0.002596,17.942751
0.600000,800.000000,10.000000,0.004000,34.265078,20.566764,3.116942,1.481529,38.552500,1.726747,10.000000,800.000000,1155.000000,2249.901170,983.195020,983.981570,89.172501,1032.516589,0.002596,17.942751
0.800000,800.000000,5.000000,0.004000,38.780831,18.286955,2.668731,2.991807,109.349316,0.183464,5.000000,800.000000,1155.000000,2436.957345,1095.799031,1096.478219,94.335627,1062.719997,0.002172,16.960718
0.800000,800.000000,10.000000,0.004000,34.591516,20.992213,3.780589,1.439122,39.004177,1.858221,10.000000,800.000000,1155.000000,2436.957345,1095.799031,1096.478219,94.335627,1062.719997,0.002172,16.960718
0.400000,800.000000,5.000000,0.005000,44.160709,18.761664,2.028704,3.862409,NaN,NaN,5.000000,800.000000,1155.000000,1719.860429,612.935824,614.110208,91.075367,1443.740808,0.003988,17.567868
0.400000,800.000000,10.000000,0.005000,32.464168,21.165871,2.969257,1.975805,39.370416,0.797879,10.000000,800.000000,1155.000000,1719.860429,612.935824,614.110208,91.075367,1443.740808,0.003988,17.567868
0.600000,800.000000,5.000000,0.005000,44.761537,19.077389,1.994642,4.457072,NaN,NaN,5.000000,800.000000,1155.000000,1849.103955,613.418588,614.809704,90.821083,1561.272501,0.003661,17.617055
