H2Ofrac,length,radius,n_tot,T_est_condres,T_est_ac,Q_est_condres,Q_est_ac,T_RO_model,Q_RO_model,R,L,T_C,delta_rho,rho_bar,rho_mean,c_mean,mu_mean,ngas_mean,T_ac_analytic
0.200000,600.000000,10.000000,0.002000,43.006812,13.162734,5.498925,3.477853,41.699159,5.843282,10.000000,600.000000,1155.000000,2266.120706,1748.731043,1747.043636,93.125189,312.676859,0.001589,12.885880
0.400000,600.000000,10.000000,0.002000,43.410933,13.139413,5.558724,3.120854,42.463471,6.763322,10.000000,600.000000,1155.000000,2352.705079,1871.544765,1869.497645,100.226546,268.391340,0.001224,11.972876
0.600000,600.000000,10.000000,0.002000,43.452126,12.611152,5.755301,2.543929,43.072580,7.410439,10.000000,600.000000,1155.000000,2440.135210,1979.246680,1976.873342,113.150632,253.841721,0.000867,10.605332
0.800000,600.000000,10.000000,0.002000,43.320137,11.532175,5.980563,1.993550,43.653334,7.769121,10.000000,600.000000,1155.000000,2525.140633,2085.623569,2082.923862,147.958232,261.764881,0.000515,8.110397
0.400000,600.000000,10.000000,0.001000,46.796285,11.000794,7.403219,6.391049,46.256338,8.828996,10.000000,600.000000,1155.000000,2236.301297,2334.647351,2331.500754,150.241943,165.621793,0.000562,7.987117
0.400000,600.000000,10.000000,0.002000,43.394869,13.139413,5.536387,3.120854,42.463471,6.763322,10.000000,600.000000,1155.000000,2352.705079,1871.544765,1869.497645,100.226546,268.391340,0.001224,11.972876
0.400000,600.000000,10.000000,0.003000,36.356342,17.635153,3.221743,1.404912,37.956418,3.973029,10.000000,600.000000,1155.000000,2227.673467,1366.498303,1365.907742,82.907132,512.248034,0.001986,14.474026
0.400000,600.000000,10.000000,0.004000,30.647475,19.967461,2.855905,1.546175,33.827056,1.923483,10.000000,600.000000,1155.000000,1920.970124,883.493465,884.069968,79.752471,915.779230,0.002879,15.046556
0.400000,600.000000,10.000000,0.005000,33.400774,20.437959,2.045877,3.714751,35.609808,0.703992,10.000000,600.000000,1155.000000,1377.340443,499.460997,500.410535,84.794704,1480.579890,0.003894,14.151827
0.400000,600.000000,5.000000,0.002000,42.874052,12.144066,4.325061,2.182982,43.239318,2.429947,5.000000,600.000000,1155.000000,2352.705079,1871.544765,1869.497645,100.226546,268.391340,0.001224,11.972876
0.400000,600.000000,10.000000,0.002000,43.410933,13.139413,5.558724,3.120854,42.463471,6.763322,10.000000,600.000000,1155.000000,2352.705079,1871.544765,1869.497645,100.226546,268.391340,0.001224,11.972876
0.400000,600.000000,15.000000,0.002000,42.893105,12.606341,6.310935,5.315187,42.381641,11.413983,15.000000,600.000000,1155.000000,2352.705079,1871.544765,1869.497645,100.226546,268.391340,0.001224,11.972876
0.400000,400.000000,10.000000,0.002000,40.475136,11.842749,3.194785,2.164918,32.749051,6.245916,10.000000,400.000000,1155.000000,2213.134609,1575.650600,1574.483281,72.997165,341.267238,0.001261,10.959330
0.400000,500.000000,10.000000,0.002000,46.702370,12.518074,3.206812,2.571477,37.852254,6.578349,10.000000,500.000000,1155.000000,2299.745938,1746.410347,1744.747098,86.069682,297.875467,0.001240,11.618493
0.400000,600.000000,10.000000,0.002000,43.410933,13.139413,5.558724,3.120854,42.463471,6.763322,10.000000,600.000000,1155.000000,2352.705079,1871.544765,1869.497645,100.226546,268.391340,0.001224,11.972876
0.400000,700.000000,10.000000,0.002000,46.755850,13.622429,6.401652,3.717747,46.689846,6.864125,10.000000,700.000000,1155.000000,2388.089322,1967.116422,1964.766269,115.156780,247.041637,0.001209,12.157339
